
Real Valladolid  VS.  Levante:
G  1  Jaime Jimnez Merlo
D  2  Antonio Rukavina
D  4  Marc Valiente
D  6  Jess Rueda
D  24  Mikel Balenziaga
M  10  scar Gonzlez
M  14  Omar Ramos
M  18  Alvaro Rubio
M  20  Patrick Ebert
M  22  Victor Perez
F  9  Javi Guerra
--------------------------
G  1  Gustavo Munua
D  4  David Navarro
D  18  Sergio Ballesteros
D  19  Pedro Lpez
D  22  Christian Lell
M  7  Jose Barkero
M  10  Vicente Iborra de la Fuente
M  20  Juanlu
M  21  Michel
M  23  Pape Diop
F  9  Angel

Atletico Madrid  VS.  Athletic Bilbao:
G  13  Thibaut Courtois
D  3  Filipe Luis
D  14  Gabi
D  20  Francisco Juanfran
D  23  Miranda
M  2  Diego Godn
M  4  Mario Surez
M  6  Koke
M  10  Arda Turan
F  9  Radamel Falcao
F  11  Cristian Rodriguez
--------------------------
G  1  Gorka Iraizoz
D  10  Oscar de Marcos
D  15  Andoni Iraola
D  17  Inigo Prez
D  18  Carlos Gurpegui
M  6  Mikel San Jose
M  8  Ander Iturraspe
M  14  Markel Susaeta
M  21  Ander Herrera
F  16  Ismael Lpez Blanco
F  20  Aritz Aduriz

Osasuna  VS.  Barcelona:
G  13  Andrs Fernndez
D  2  Marc Bertrn
D  14  Javi Arribas
D  23  Raoul Loe
D  24  Damia
M  4  Miguel Flao
M  10  Francisco Pual
M  11  Sisi
M  16  Alvaro Cejudo
F  12  Joseba Llorente
F  20  Roland Lamah
--------------------------
G  1  Victor Valds
D  2  Dani Alves
D  5  Carles Puyol
D  16  Sergio Busquets
D  18  Jordi Alba
M  3  Gerard Piqu
M  4  Cesc Fbregas
M  8  Andrs Iniesta
F  9  Alexis Snchez
F  10  Lionel Messi
F  37  Cristian Tello

Getafe  VS.  Real Madrid:
G  1  Miguel Moya
D  2  Alexis
D  4  Miguel Torres Gmez
D  16  David Angel Abraham
D  20  Valera
M  17  Diego Castro Gimenez
M  18  Lafita
M  19  Abdelaziz Barrada
M  21  Michel
M  25  Xavi Torres
F  7  Miku
--------------------------
G  1  Iker Casillas
D  4  Sergio Ramos
D  12  Marcelo
D  17  lvaro Arbeloa
D  18  Ral Albiol
M  7  Cristiano Ronaldo
M  10  Mesut zil
M  14  Xabi Alonso
M  22  ngel Di Mara
M  24  Lassana Diarra
F  20  Gonzalo Higuan

Granada  VS.  Sevilla FC:
G  1  Too
D  2  Allan-Romo Nyom
D  6  Guillherme Siqueira
D  8  Inigo Lopez
D  20  Borja Gomez
M  9  Youssef El Arabi
M  10  Jaime Romero Gmez
M  14  Moreno Mikel Rico
M  19  Fabin Orellana
M  24  Santos Iriney
F  7  Antonio Floro Flores
--------------------------
G  13  Diego Lopez
