Real Valladolid,2-0,Levante
Atletico Madrid,4-0,Athletic Bilbao
Osasuna,1-2,Barcelona
Getafe,2-1,Real Madrid
Granada,1-1,Sevilla FC
Valencia,3-3,Deportivo La Corua
Real Sociedad,2-1,Celta Vigo
Espanyol,1-2,Real Zaragoza
Real Betis,1-2,Rayo Vallecano
Malaga,1-1,Mallorca
Deportivo La Corua,2-0,Osasuna
Rayo Vallecano,1-0,Granada
Real Zaragoza,0-1,Real Valladolid
Athletic Bilbao,3-5,Real Betis
Real Madrid,1-1,Valencia
Barcelona,5-1,Real Sociedad
Levante,1-1,Atletico Madrid
Celta Vigo,0-1,Malaga
Sevilla FC,2-1,Getafe
Mallorca,2-1,Espanyol
Real Betis,2-4,Atletico Madrid
Rayo Vallecano,0-0,Sevilla FC
Athletic Bilbao,2-0,Real Valladolid
Levante,3-2,Espanyol
Real Madrid,3-0,Granada
Barcelona,1-0,Valencia
Celta Vigo,2-0,Osasuna
Real Zaragoza,0-1,Malaga
Deportivo La Corua,1-1,Getafe
Mallorca,1-0,Real Sociedad
Valencia,2-0,Real Zaragoza
Malaga,4-0,Real Betis
Real Sociedad,2-0,Athletic Bilbao
Sevilla FC,2-3,Barcelona
Rayo Vallecano,0-2,Real Madrid
Deportivo La Corua,0-2,Sevilla FC
Mallorca,2-0,Valencia
Levante,2-1,Real Sociedad
Atletico Madrid,2-1,Real Valladolid
Athletic Bilbao,0-0,Malaga
Real Zaragoza,3-1,Osasuna
Celta Vigo,2-1,Getafe
Real Betis,1-0,Espanyol
Barcelona,2-0,Granada
Real Valladolid,0-1,Real Betis
Espanyol,3-3,Athletic Bilbao
Granada,1-1,Deportivo La Corua
Osasuna,1-1,Mallorca
Real Sociedad,2-0,Real Zaragoza
Atletico Madrid,4-3,Rayo Vallecano
Malaga,3-1,Levante
Valencia,2-1,Celta Vigo
Getafe,1-4,Barcelona
Sevilla FC,1-0,Real Madrid
Levante,1-0,Valencia
Mallorca,1-2,Granada
Athletic Bilbao,1-0,Osasuna
Barcelona,2-2,Real Madrid
Atletico Madrid,2-1,Malaga
Rayo Vallecano,2-1,Deportivo La Corua
Real Zaragoza,0-1,Getafe
Real Valladolid,1-1,Espanyol
Real Betis,2-0,Real Sociedad
Celta Vigo,2-0,Sevilla FC
Getafe,1-0,Mallorca
Granada,2-1,Celta Vigo
Real Valladolid,6-1,Rayo Vallecano
Osasuna,4-0,Levante
Real Madrid,5-1,Deportivo La Corua
Espanyol,0-1,Atletico Madrid
Real Valladolid,2-2,Real Sociedad
Real Zaragoza,2-1,Sevilla FC
Levante,3-1,Granada
Athletic Bilbao,1-2,Getafe
Atletico Madrid,3-1,Osasuna
Mallorca,0-5,Real Madrid
Espanyol,0-0,Malaga
Real Betis,1-0,Valencia
Celta Vigo,1-1,Deportivo La Corua
Rayo Vallecano,0-5,Barcelona
Sevilla FC,3-2,Mallorca
Getafe,0-1,Levante
Espanyol,3-2,Rayo Vallecano
Granada,1-2,Real Zaragoza
Osasuna,0-0,Real Betis
Real Sociedad,0-1,Atletico Madrid
Malaga,2-1,Real Valladolid
Real Madrid,2-0,Celta Vigo
Valencia,3-2,Athletic Bilbao
Deportivo La Corua,4-5,Barcelona
Real Sociedad,0-1,Espanyol
Deportivo La Corua,1-0,Mallorca
Osasuna,0-1,Real Valladolid
Granada,1-2,Athletic Bilbao
Sevilla FC,0-0,Levante
Malaga,1-2,Rayo Vallecano
Barcelona,3-1,Celta Vigo
Real Madrid,4-0,Real Zaragoza
Valencia,2-0,Atletico Madrid
Real Sociedad,4-0,Rayo Vallecano
Deportivo La Corua,0-2,Levante
Celta Vigo,1-1,Mallorca
Getafe,2-1,Real Valladolid
Granada,0-1,Atletico Madrid
Sevilla FC,5-1,Real Betis
Osasuna,0-0,Malaga
Valencia,2-1,Espanyol
Barcelona,3-1,Real Zaragoza
Real Madrid,5-1,Athletic Bilbao
Real Valladolid,1-1,Valencia
Athletic Bilbao,2-1,Sevilla FC
Mallorca,2-4,Barcelona
Atletico Madrid,2-0,Getafe
Levante,1-2,Real Madrid
Rayo Vallecano,3-2,Celta Vigo
Espanyol,0-3,Osasuna
Real Zaragoza,5-3,Deportivo La Corua
Malaga,1-2,Real Sociedad
