Home,Score,Away
Almeria,2-2,Elche
Rayo Vallecano,1-2,Levante
Granada,0-1,Real Madrid
Atletico Madrid,5-0,Rayo Vallecano
Levante,0-0,Sevilla FC
Malaga,0-1,Barcelona
Real Betis,1-2,Celta Vigo
Elche,1-1,Real Sociedad
Espanyol,3-1,Valencia
Villarreal,2-1,Real Valladolid
Getafe,2-2,Almeria
Athletic Bilbao,2-0,Osasuna
Rayo Vallecano,3-0,Elche
Almeria,2-3,Villarreal
Celta Vigo,2-2,Espanyol
Barcelona,7-0,Levante
Osasuna,1-2,Granada
Real Madrid,2-1,Real Betis
Sevilla FC,1-3,Atletico Madrid
Real Sociedad,2-0,Getafe
Real Valladolid,1-2,Athletic Bilbao
Valencia,1-0,Malaga
Atletico Madrid,4-2,Almeria
Levante,0-0,Real Sociedad
Barcelona,3-2,Sevilla FC
Villarreal,2-2,Real Madrid
Real Madrid,3-1,Athletic Bilbao
Espanyol,0-0,Real Betis
Real Sociedad,1-2,Atletico Madrid
Sevilla FC,2-2,Malaga
Valencia,2-3,Barcelona
Celta Vigo,1-1,Granada
Real Valladolid,1-0,Getafe
Osasuna,0-3,Villarreal
Osasuna,0-1,Levante
Celta Vigo,0-1,Elche
Espanyol,0-2,Getafe
Real Betis,1-0,Villarreal
Valencia,1-0,Rayo Vallecano
Almeria,0-2,Barcelona
Real Sociedad,1-1,Sevilla FC
Real Madrid,0-1,Atletico Madrid
Real Valladolid,2-2,Malaga
Athletic Bilbao,2-1,Real Betis
Getafe,2-0,Celta Vigo
Villarreal,2-1,Espanyol
Granada,0-1,Valencia
Sevilla FC,4-1,Rayo Vallecano
Elche,1-2,Real Madrid
Barcelona,4-1,Real Sociedad
Levante,1-1,Real Valladolid
Atletico Madrid,2-1,Osasuna
Malaga,2-0,Almeria
Espanyol,3-2,Athletic Bilbao
Real Betis,0-0,Granada
Celta Vigo,0-0,Villarreal
Real Madrid,4-1,Getafe
Valencia,3-1,Sevilla FC
Real Sociedad,0-0,Malaga
Almeria,2-2,Levante
Rayo Vallecano,0-4,Barcelona
Real Valladolid,0-2,Atletico Madrid
Osasuna,2-1,Elche
Elche,0-0,Real Valladolid
Athletic Bilbao,3-2,Celta Vigo
Granada,0-1,Espanyol
Getafe,2-1,Osasuna
Malaga,5-0,Rayo Vallecano
Real Betis,3-1,Valencia
Atletico Madrid,2-1,Celta Vigo
Sevilla FC,2-1,Almeria
Getafe,3-1,Real Betis
Athletic Bilbao,1-1,Valencia
Elche,2-1,Espanyol
Rayo Vallecano,1-0,Real Sociedad
Levante,2-3,Real Madrid
Barcelona,4-1,Real Valladolid
Villarreal,3-0,Granada
Malaga,0-1,Osasuna
Granada,2-0,Athletic Bilbao
Espanyol,0-0,Malaga
Celta Vigo,0-3,Barcelona
Getafe,0-1,Athletic Bilbao
Sevilla FC,2-1,Osasuna
Villarreal,4-1,Valencia
Real Sociedad,3-0,Almeria
Atletico Madrid,5-0,Real Betis
Malaga,0-5,Celta Vigo
Barcelona,2-1,Real Madrid
Elche,0-1,Granada
Levante,3-0,Espanyol
Rayo Vallecano,0-3,Real Valladolid
Celta Vigo,0-1,Levante
Athletic Bilbao,2-0,Villarreal
Granada,0-2,Getafe
Almeria,0-1,Rayo Vallecano
Real Betis,1-2,Elche
Real Valladolid,2-2,Sevilla FC
Real Madrid,2-0,Malaga
Valencia,1-2,Real Sociedad
Osasuna,0-0,Barcelona
Espanyol,1-0,Atletico Madrid
Elche,0-1,Villarreal
Getafe,0-1,Valencia
Atletico Madrid,2-0,Athletic Bilbao
Levante,0-1,Granada
Malaga,3-2,Real Betis
Real Sociedad,5-0,Osasuna
Almeria,1-0,Real Valladolid
Rayo Vallecano,2-3,Real Madrid
Sevilla FC,0-1,Celta Vigo
Barcelona,1-0,Espanyol
