
Stoke City  VS.  Arsenal:
G  1  Asmir Begovic
D  4  Robert Huth
D  12  Marc Wilson
D  17  Ryan Shawcross
D  28  Andy Wilkinson
M  2  Geoff Cameron
M  6  Glenn Whelan
M  7  Jermaine Pennant
M  21  Michael Kightly
F  19  Jonathan Walters
F  25  Peter Crouch
--------------------------
G  24  Vito Mannone
D  4  Per Mertesacker
D  5  Thomas Vermaelen
D  25  Carl Jenkinson
D  28  Kieran Gibbs
M  2  Abou Diaby
M  8  Mikel Arteta
M  9  Lukas Podolski
M  27  Gervinho
F  12  Olivier Giroud
F  19  Santi Cazorla

Liverpool  VS.  Manchester City:
G  25  Pepe Reina
D  2  Glen Johnson
D  16  Sebastin Coates
D  34  Martin Kelly
D  37  Martin Skrtel
M  8  Steven Gerrard
M  21  Lucas
M  24  Joe Allen
F  7  Luis Surez
F  29  Fabio Borini
F  31  Raheem Sterling
--------------------------
G  1  Joe Hart
D  4  Vincent Kompany
D  5  Pablo Zabaleta
D  28  Kolo Tour
M  7  James Milner
M  8  Samir Nasri
M  13  Aleksandar Kolarov
M  34  Nigel De Jong
M  42  Yaya Tour
F  32  Carlos Tevez
F  45  Mario Balotelli

Swansea City  VS.  West Ham United:
G  1  Michel Vorm
D  3  Neil Taylor
D  4  Chico
D  6  Ashley Williams
D  22  Angel Rangel
M  7  Leon Britton
M  9  Michu
M  12  Nathan Dyer
M  15  Wayne Routledge
M  20  Jonathan De Guzman
F  10  Danny Graham
--------------------------
G  22  Jussi Jaaskelainen
D  2  Winston Reid
D  3  George McCartney
D  19  James Collins
D  20  Guy Demel
M  5  James Tomkins
M  16  Mark Noble
M  21  Mohamed Diame
F  4  Kevin Nolan
F  7  Matthew Jarvis
F  9  Carlton Cole

Aston Villa  VS.  Everton:
G  1  Shay Given
D  4  Ron Vlaar
D  6  Ciaran Clark
D  32  Nathan Baker
D  34  Matthew Lowton
M  8  Karim El Ahmadi
M  10  Charles N'Zogbia
M  25  Barry Bannan
M  31  Chris Herd
F  9  Darren Bent
F  23  Nathan Delfouneso
--------------------------
G  24  Tim Howard
D  3  Leighton Baines
D  6  Phil Jagielka
D  15  Sylvain Distin
D  18  Phil Neville
M  4  Darron Gibson
M  14  Steven Naismith
M  21  Leon Osman
M  22  Steven Pienaar
F  7  Nikica Jelavic
F  25  Marouane Fellaini

Manchester United  VS.  Fulham:
G  1  David De Gea
D  2  Rafael
D  3  Patrice Evra
D  15  Nemanja Vidic
D  16  Michael Carrick
M  7  Antonio Valencia
M  8  Anderson
M  18  Ashley Young
M  23  Tom Cleverley
M  26  Shinji Kagawa
F  20  Robin Van Persie
--------------------------
G  1  Mark Schwarzer
D  5  Brede Hangeland
D  17  Matthew Briggs
D  18  Aaron Hughes
D  27  Sascha Riether
M  16  Damien Duff
M  19  Mahamadou Diarra
M  30  Mousa Dembele
M  31  Alexander Kacaniklic
F  10  Mladen Petric
F  11  Bryan Ruiz

Norwich City  VS.  Queens Park Rangers:
G  1  John Ruddy
D  2  Russell Martin
D  5  Sebastien Bassong
D  18  Javier Garrido
D  20  Leon Barnett
M  4  Bradley Johnson
M  7  Robert Snodgrass
M  8  Jonathan Howson
M  12  Anthony Pilkington
F  9  Grant Holt
F  10  Simeon Jackson
--------------------------
G  1  Robert Green
D  3  Armand Traore
D  5  Anton Ferdinand
D  6  Clint Hill
D  20  Fabio
M  2  Samba Diakit
M  7  Park Ji-Sung
M  12  Jamie Mackie
M  23  David Hoilett
F  9  Djibril Ciss
F  25  Bobby Zamora

Southampton  VS.  Wigan Athletic:
G  1  Kelvin Davis
D  2  Nathaniel Clyne
D  5  Jos Hooiveld
D  6  Jose Fonte
D  13  Daniel Fox
M  4  Morgan Schneiderlin
M  8  Steven Davis
M  9  Jay Rodriguez
M  20  Adam Lallana
M  21  Guilherme Do Prado
F  7  Rickie Lambert
--------------------------
G  26  Ali Al Habsi
D  3  Antoln Alcaraz
D  5  Gary Caldwell
D  17  Emmerson Boyce
D  21  Ivan Ramis
D  31  Maynor Figueroa
M  2  Arouna Kon
M  4  James McCarthy
M  10  Shaun Maloney
M  16  James McArthur
F  9  Franco Di Santo

Tottenham Hotspur  VS.  West Bromwich Albion:
G  24  Brad Friedel
D  5  Jan Vertonghen
D  13  William Gallas
D  28  Kyle Walker
D  32  Benoit Assou-Ekotto
M  7  Aaron Lennon
M  11  Gareth Bale
M  29  Jake Livermore
M  30  Sandro
F  10  Rafael Van der Vaart
F  18  Jermain Defoe
--------------------------
G  1  Ben Foster
D  2  Steven Reid
D  3  Jonas Olsson
D  6  Liam Ridgewell
D  23  Gareth McAuley
